City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mar Del Plata,AR,-38.0023,-57.5575,283.76,97,100,0.89,overcast clouds
80,Hasaki,JP,35.7333,140.8333,300.3,75,80,8.91,broken clouds
81,Maragogi,BR,-9.0122,-35.2225,296.63,82,58,5.4,broken clouds
82,Tuktoyaktuk,CA,69.4541,-133.0374,276.71,95,100,4.68,light rain
83,Juanjui,PE,-7.1779,-76.7314,294.67,93,10,0.75,clear sky
84,Esperance,AU,-33.8667,121.9,286.88,56,88,9.13,light rain
85,Christchurch,NZ,-43.5333,172.6333,281.2,86,100,1.49,overcast clouds
86,Ust-Kuyga,RU,70.0167,135.6,297.2,44,18,1.47,few clouds
87,Provideniya,RU,64.3833,-173.3,279.99,86,100,2.71,overcast clouds
88,Atuona,PF,-9.8,-139.0333,298.38,70,24,7.2,few clouds
89,Carnarvon,AU,-24.8667,113.6333,292.4,43,12,7.42,few clouds
90,Sao Joao Da Barra,BR,-21.6403,-41.0511,294.82,84,2,6.16,clear sky
91,Azanka,RU,58.0401,64.7893,293.67,49,91,2.61,overcast clouds
92,Olafsvik,IS,64.8945,-23.7142,283.97,83,65,2.22,broken clouds
93,Cape Town,ZA,-33.9258,18.4232,285.32,70,0,2.68,clear sky
94,Tuatapere,NZ,-46.1333,167.6833,280.59,89,17,1.42,few clouds
95,Isangel,VU,-19.55,169.2667,299.46,77,1,4.95,clear sky
96,Hithadhoo,MV,-0.6,73.0833,300.73,71,100,0.6,overcast clouds
97,Ganzhou,CN,28.8184,115.4327,309.2,50,56,2.98,broken clouds
98,Airai,TL,-8.9266,125.4092,294.51,47,25,1.64,scattered clouds
99,Avarua,CK,-21.2078,-159.775,294.18,52,93,1.54,overcast clouds
100,Kupino,RU,54.3663,77.2981,287.57,78,100,4.45,light rain
101,Shihezi,CN,44.3,86.0333,306.51,23,39,2.87,scattered clouds
102,Dikson,RU,73.5069,80.5464,283.71,70,100,7.02,overcast clouds
103,Listvyanskiy,RU,54.4399,83.4984,290.54,74,87,5.97,light rain
104,Ialibu,PG,-6.2821,143.9935,291.17,88,76,1.3,moderate rain
105,Tasiilaq,GL,65.6145,-37.6368,274.99,91,75,4.1,broken clouds
106,Kungurtug,RU,50.5994,97.5228,293.64,37,11,0.94,few clouds
107,Auki,SB,-8.7676,160.7034,302.25,68,23,1.29,few clouds
108,Bandarbeyla,SO,9.4942,50.8122,300.88,59,50,12.87,scattered clouds
109,Georgetown,MY,5.4112,100.3354,302.24,70,98,2.79,overcast clouds
110,Ponta Do Sol,PT,32.6667,-17.1,296.55,60,5,0.83,clear sky
111,Longyearbyen,SJ,78.2186,15.6401,281.06,93,75,3.6,mist
112,Namibe,AO,-15.1961,12.1522,289.77,90,1,0.87,clear sky
113,Pouebo,NC,-20.4,164.5667,298.18,70,34,3.25,scattered clouds
114,Hammerfest,NO,70.6634,23.6821,283.0,83,98,7.49,overcast clouds
115,Arraial Do Cabo,BR,-22.9661,-42.0278,294.65,88,15,9.84,few clouds
116,Agirish,RU,61.9247,63.0231,291.8,46,52,3.02,broken clouds
117,Kalaleh,IR,37.3807,55.4916,298.59,78,93,2.3,overcast clouds
118,Keskin,TR,39.6731,33.6136,289.75,55,0,2.69,clear sky
119,Ostrovnoy,RU,68.0531,39.5131,284.29,86,97,4.21,overcast clouds
120,Deputatskiy,RU,69.3,139.9,291.42,43,29,5.87,scattered clouds
121,Cherskiy,RU,68.75,161.3,290.21,40,63,4.65,broken clouds
122,Coolum Beach,AU,-26.5333,153.1,294.32,64,38,5.29,scattered clouds
123,Kingston Upon Hull,GB,53.7446,-0.3353,290.91,56,75,6.69,broken clouds
124,Yulara,AU,-25.2406,130.9889,299.68,18,0,10.63,clear sky
125,Baiyin,CN,36.5583,104.2081,301.68,36,2,1.59,clear sky
126,Verkhnevilyuysk,RU,63.4453,120.3167,299.95,46,30,4.44,scattered clouds
127,Praia Da Vitoria,PT,38.7333,-27.0667,294.68,97,18,1.59,few clouds
128,Kutum,SD,14.2,24.6667,297.65,59,98,4.21,overcast clouds
129,Nanortalik,GL,60.1432,-45.2371,279.52,91,100,3.57,overcast clouds
130,Guerrero Negro,MX,27.9769,-114.0611,292.79,80,60,6.25,broken clouds
131,Manaus,BR,-3.1019,-60.025,299.42,89,0,1.03,clear sky
132,Cervo,ES,43.6702,-7.4101,290.91,86,6,0.73,clear sky
133,Vitim,RU,59.4511,112.5578,304.75,40,22,1.82,few clouds
134,Najran,SA,17.4924,44.1277,299.21,55,89,3.21,overcast clouds
135,Tiarei,PF,-17.5333,-149.3333,299.42,76,4,7.71,light rain
136,Kaitangata,NZ,-46.2817,169.8464,278.43,78,5,0.94,clear sky
137,Mocuba,MZ,-16.8392,36.9856,290.88,88,5,1.18,clear sky
138,Ilulissat,GL,69.2167,-51.1,276.83,98,100,0.83,overcast clouds
139,Botwood,CA,49.1499,-55.3482,289.16,82,0,2.04,clear sky
140,Taywarah,AF,33.35,64.4167,297.52,23,10,1.44,clear sky
141,San Cristobal,VE,7.7669,-72.225,294.25,86,6,0.62,clear sky
142,Chokurdakh,RU,70.6333,147.9167,293.21,31,84,4.63,broken clouds
143,Puerto Ayora,EC,-0.7393,-90.3518,294.01,91,63,3.58,broken clouds
144,Nikolskoye,RU,59.7035,30.7861,290.83,91,99,2.16,overcast clouds
145,Matara,LK,5.9485,80.5353,301.19,74,92,6.28,overcast clouds
146,Shaunavon,CA,49.6501,-108.4181,288.0,57,0,2.95,clear sky
147,Hilo,US,19.7297,-155.09,298.31,96,94,3.58,overcast clouds
148,Hobart,AU,-42.8794,147.3294,288.85,75,75,2.06,broken clouds
149,Port Elizabeth,ZA,-33.918,25.5701,284.31,87,20,5.66,few clouds
150,Saldanha,ZA,-33.0117,17.9442,282.2,73,0,4.63,clear sky
151,Demirci,TR,39.0461,28.6589,293.28,31,0,2.77,clear sky
152,Bilma,NE,18.6853,12.9164,303.95,27,2,2.51,clear sky
153,Saint-Joseph,RE,-21.3667,55.6167,294.93,77,60,4.88,broken clouds
154,Dhidhdhoo,MV,6.8833,73.1,300.73,74,43,5.72,scattered clouds
155,Petropavlovka,RU,50.6114,105.3196,292.73,60,100,0.59,overcast clouds
156,Saskylakh,RU,71.9167,114.0833,293.13,53,16,1.51,few clouds
157,Souillac,MU,-20.5167,57.5167,296.36,68,40,5.66,scattered clouds
158,Allapalli,IN,19.4167,80.0667,298.37,93,100,1.54,overcast clouds
