City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
92,Olafsvik,IS,283.97,broken clouds,64.8945,-23.7142,Hotel Olafsvik
93,Cape Town,ZA,285.32,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
94,Tuatapere,NZ,280.59,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
95,Isangel,VU,299.46,clear sky,-19.55,169.2667,Tanna Lodge
98,Airai,TL,294.51,scattered clouds,-8.9266,125.4092,
99,Avarua,CK,294.18,overcast clouds,-21.2078,-159.775,Paradise Inn
100,Kupino,RU,287.57,light rain,54.3663,77.2981,Hotel Sibiria Inn
102,Dikson,RU,283.71,overcast clouds,73.5069,80.5464,
103,Listvyanskiy,RU,290.54,light rain,54.4399,83.4984,
104,Ialibu,PG,291.17,moderate rain,-6.2821,143.9935,Eastwood Guesthouse
106,Kungurtug,RU,293.64,few clouds,50.5994,97.5228,
110,Ponta Do Sol,PT,296.55,clear sky,32.6667,-17.1,Hotel do Campo
111,Longyearbyen,SJ,281.06,mist,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
112,Namibe,AO,289.77,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
113,Pouebo,NC,298.18,scattered clouds,-20.4,164.5667,RIVÂT LODGE
114,Hammerfest,NO,283.0,overcast clouds,70.6634,23.6821,Skytterhuset
115,Arraial Do Cabo,BR,294.65,few clouds,-22.9661,-42.0278,Pousada Porto Praia
116,Agirish,RU,291.8,broken clouds,61.9247,63.0231,
117,Kalaleh,IR,298.59,overcast clouds,37.3807,55.4916,کلاله
118,Keskin,TR,289.75,clear sky,39.6731,33.6136,Keskin İlçe Müftülüğü İrşat Evi
119,Ostrovnoy,RU,284.29,overcast clouds,68.0531,39.5131,
120,Deputatskiy,RU,291.42,scattered clouds,69.3,139.9,Baza Otdykha
121,Cherskiy,RU,290.21,broken clouds,68.75,161.3,Gostinitsa
122,Coolum Beach,AU,294.32,scattered clouds,-26.5333,153.1,Coolum Beach Resort
123,Kingston Upon Hull,GB,290.91,broken clouds,53.7446,-0.3353,Premier Inn Hull City Centre hotel
124,Yulara,AU,299.68,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
126,Verkhnevilyuysk,RU,299.95,scattered clouds,63.4453,120.3167,Gostinitsa Mila
127,Praia Da Vitoria,PT,294.68,few clouds,38.7333,-27.0667,Hotel Branco I
128,Kutum,SD,297.65,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
130,Guerrero Negro,MX,292.79,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
131,Manaus,BR,299.42,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
132,Cervo,ES,290.91,clear sky,43.6702,-7.4101,Hotel Spa Galatea
134,Najran,SA,299.21,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
135,Tiarei,PF,299.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
137,Mocuba,MZ,290.88,clear sky,-16.8392,36.9856,Phama Lodge
139,Botwood,CA,289.16,clear sky,49.1499,-55.3482,Exploits Inn & Suites
140,Taywarah,AF,297.52,clear sky,33.35,64.4167,
141,San Cristobal,VE,294.25,clear sky,7.7669,-72.225,Pirineos
142,Chokurdakh,RU,293.21,broken clouds,70.6333,147.9167,
143,Puerto Ayora,EC,294.01,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
144,Nikolskoye,RU,290.83,overcast clouds,59.7035,30.7861,Tourist House - Sablino
146,Shaunavon,CA,288.0,clear sky,49.6501,-108.4181,Bear's Den Lodge
147,Hilo,US,298.31,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
148,Hobart,AU,288.85,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
149,Port Elizabeth,ZA,284.31,few clouds,-33.918,25.5701,39 On Nile Guest House
150,Saldanha,ZA,282.2,clear sky,-33.0117,17.9442,Blue Bay Lodge
151,Demirci,TR,293.28,clear sky,39.0461,28.6589,Sungur Otel
153,Saint-Joseph,RE,294.93,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
155,Petropavlovka,RU,292.73,overcast clouds,50.6114,105.3196,Tuyaa
156,Saskylakh,RU,293.13,few clouds,71.9167,114.0833,
157,Souillac,MU,296.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
158,Allapalli,IN,298.37,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
160,Saint Anthony,US,295.33,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
161,Beitbridge,ZW,289.1,clear sky,-22.2167,30.0,Beitbridge Express Hotel
162,Chulym,RU,288.91,light rain,55.0997,80.9572,"""U Tat'yany"""
166,Wilmington,US,299.82,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
169,Karratha,AU,298.18,clear sky,-20.7377,116.8463,ibis Styles Karratha
170,Waverly,US,293.9,overcast clouds,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
171,Witu,KE,297.71,scattered clouds,-2.3889,40.4382,
172,Diamantino,BR,295.14,clear sky,-14.4086,-56.4461,Hotel Delta
173,Ryotsu,JP,298.32,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
174,Kruisfontein,ZA,282.53,light rain,-34.0033,24.7314,Oyster Bay House Rental
176,Dali,CN,295.71,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
177,Coahuayana,MX,297.97,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
179,Omboue,GA,293.78,scattered clouds,-1.5746,9.2618,Hotel Olako
180,Sirohi,IN,299.83,overcast clouds,24.8833,72.8667,Dheeraj Kumar
181,Beringovskiy,RU,280.79,overcast clouds,63.05,179.3167,
182,Flinders,AU,293.25,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
183,Aksay,RU,291.27,few clouds,47.26,39.87,Chernaya Zhemchuzhina
184,Husavik,IS,280.43,overcast clouds,66.0449,-17.3389,Bjarnabúð
185,Mpulungu,ZM,293.34,clear sky,-8.7623,31.1141,Chela moche guest house
186,Santa Cruz,BO,294.85,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
187,Manzhouli,CN,294.99,light rain,49.6,117.4333,Angala International Youth Hostel
188,Mayo,US,299.89,clear sky,38.8876,-76.5119,Resorts Resource Group International
189,Lakes Entrance,AU,288.8,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
191,Half Moon Bay,US,285.06,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
192,Tilichiki,RU,286.31,overcast clouds,60.4667,166.1,
195,Pontiac,US,297.6,broken clouds,42.6389,-83.2911,Embassy Suites by Hilton Auburn Hills
197,Komyshuvakha,UA,295.74,clear sky,47.7176,35.5288,
198,Derzhavinsk,KZ,298.26,clear sky,51.1,66.3167,Ooo.khim Baza
199,Kermanshah,IR,297.65,clear sky,34.3142,47.065,Sina Hotel
201,La Ronge,CA,282.0,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
202,Torrington,US,298.14,scattered clouds,41.8007,-73.1212,The Yankee Pedlar Inn
203,Bambous Virieux,MU,296.29,scattered clouds,-20.3428,57.7575,Casa Tia Villa
205,Champerico,GT,298.54,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
206,Fare,PF,299.51,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
207,Vila Franca Do Campo,PT,296.59,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
211,College,US,292.14,haze,64.8569,-147.8028,Pike's Waterfront Lodge
214,Hofn,IS,284.57,overcast clouds,64.2539,-15.2082,Hótel Höfn
216,Saint-Georges,GD,299.24,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
217,Kismayo,SO,297.94,broken clouds,-0.3582,42.5454,Agan-Hotel
220,Itapetininga,BR,288.37,broken clouds,-23.5917,-48.0531,Hotel Poloni
221,Kabo,CF,294.06,overcast clouds,7.6994,18.629,
222,Torbay,CA,292.91,clear sky,47.6666,-52.7314,Gallows Cove
224,Uribia,CO,299.01,clear sky,11.7139,-72.266,Hotel Uribia
225,Farafangana,MG,291.9,clear sky,-22.8167,47.8333,Miarina
226,Lokosovo,RU,283.16,moderate rain,61.1333,74.8167,
227,Vardo,NO,284.14,broken clouds,70.3705,31.1107,Vardø Hotel AS
228,Locri,IT,298.94,clear sky,38.2414,16.2623,Grand Hotel President
230,Noumea,NC,297.14,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
231,Nioro,GM,297.3,light rain,13.35,-15.75,
233,Bilibino,RU,291.07,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
235,Axim,GH,296.59,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
236,Dryden,CA,289.31,overcast clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
237,Aklavik,CA,280.04,overcast clouds,68.2191,-135.0107,Aklavik Inn
238,Stonehouse,GB,292.16,overcast clouds,51.75,-2.2833,Stonehouse Court Hotel
240,Marzuq,YE,299.31,broken clouds,14.4,46.4667,
241,Gambo,CF,292.9,overcast clouds,4.6482,22.2633,
242,Lebedyn,UA,293.63,clear sky,50.5852,34.4849,"The regional Children's multi-resort ""Lebedin"""
245,Mizdah,LY,293.6,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
246,Sassandra,CI,296.53,overcast clouds,4.95,-6.0833,la terrasse
247,Ambon,ID,299.33,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
248,Bogorodskoye,RU,294.44,clear sky,56.55,37.8833,Sosnoviy Bor
249,Seevetal,DE,286.91,few clouds,53.4,9.9667,G&H Hotel Rosengarten vormals WOX Hotel
250,Sahuaripa,MX,297.08,overcast clouds,29.05,-109.2333,Estatua de Sahuaripa
251,Pombal,BR,295.36,few clouds,-6.7703,-37.8017,Pousada Shalom
252,Verkhoyansk,RU,290.56,overcast clouds,67.5447,133.385,
254,Vilhena,BR,292.99,clear sky,-12.7406,-60.1458,Hotel Mirage
255,Maceio,BR,297.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
259,Guarapari,BR,293.09,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
261,Sitka,US,286.09,moderate rain,57.0531,-135.33,Westmark Sitka
262,Mutare,ZW,284.9,clear sky,-18.9707,32.6709,Ann Bruce Backpackers
263,Mastic Beach,US,299.26,scattered clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
265,Copiapo,CL,282.98,clear sky,-27.3667,-70.3333,Antay Casino Hotel
266,Konya,TR,290.86,clear sky,38.1667,32.5,Meydan Ahmet Muhtar
267,Halifax,CA,292.98,clear sky,44.6453,-63.5724,Hotel Halifax
269,Bure,ET,287.69,light rain,10.7,37.0667,Holiday
270,Necochea,AR,283.4,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
272,Bredasdorp,ZA,283.08,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
274,Pangnirtung,CA,282.82,broken clouds,66.1451,-65.7125,Kilabuk Lodge
275,Matinha,BR,295.67,scattered clouds,-3.1006,-45.0336,Hotel do Posto e Conveniência
276,Ribeira Grande,PT,296.1,few clouds,38.5167,-28.7,Quinta da Meia Eira
277,Hobyo,SO,298.92,broken clouds,5.3505,48.5268,Iftin hotel hobyo
278,Srednekolymsk,RU,296.45,clear sky,67.45,153.6833,
279,Lagos,NG,296.34,light rain,6.5833,3.75,
280,Roebourne,AU,297.91,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
281,Neftcala,AZ,298.62,broken clouds,39.3742,49.2472,Otel restoran
282,Marquette,US,288.69,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
284,Sumbe,AO,293.67,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
285,Fremont,US,293.04,clear sky,37.5483,-121.9886,Best Western Plus Garden Court Inn
286,Parana,AR,292.9,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
287,Chapais,CA,287.17,broken clouds,49.7834,-74.8492,Hôtel Opémiska
288,Caibarien,CU,298.77,scattered clouds,22.5206,-79.4669,La Nena
289,Mitsamiouli,KM,297.19,few clouds,-11.3847,43.2844,Foyer ADM
290,Bethel,US,298.5,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
291,Oriximina,BR,296.94,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
292,Lata,PT,287.22,clear sky,40.1629,-8.3327,Casa Maquia
